City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
166,Kavieng,PG,79.27,heavy intensity rain,-2.5744,150.7967,Nusa Island Retreat
169,Kambia,SL,78.42,few clouds,9.1167,-12.9167,Kambia Africana Village Hotel
171,Galle,LK,83.23,scattered clouds,6.0367,80.217,Amangalla
172,Monteria,CO,75.18,overcast clouds,8.748,-75.8814,Hotel Sinu
175,Lorengau,PG,83.07,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
178,Santa Rosa,PH,83.1,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
182,Mecca,SA,81.48,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
185,Kralendijk,BQ,80.58,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
190,Bosaso,SO,81.73,broken clouds,11.2842,49.1816,Red Sea Hotel
193,Poum,NC,81.03,scattered clouds,-20.2333,164.0167,Gîte kajeon
204,Broken Hill,AU,78.15,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
206,Toba Tek Singh,PK,77.9,clear sky,30.9743,72.4827,Haji Muhammad Ashraf(x Consular)
217,Yulara,AU,86.43,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
223,Richards Bay,ZA,78.37,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
224,Alofi,NU,79.3,light rain,-19.0595,-169.9187,Taloa Heights
233,Singarayakonda,IN,85.53,clear sky,15.25,80.0333,srinu tiffen center
237,Charters Towers,AU,87.15,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
240,San Policarpo,PH,79.9,broken clouds,12.1791,125.5072,Agapita M. Nicart
247,Manati,PR,76.98,scattered clouds,18.4275,-66.4921,Manati World Point Inn
254,Kontagora,NG,81.14,broken clouds,10.3999,5.4695,Queens Guest Inn
264,Sulangan,PH,82.11,overcast clouds,11.1373,123.7228,Maia's Beach Resort
266,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
269,Ebolowa,CM,76.89,light rain,2.9,11.15,Florence Hotel Ebolowa
272,Tautira,PF,77.02,broken clouds,-17.7333,-149.15,Pension Oaoa
281,Aquin,HT,75.38,broken clouds,18.2833,-73.4,Asheev Beach
286,Bengkulu,ID,77.74,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
290,Port-Gentil,GA,80.56,light rain,-0.7193,8.7815,Fengshui Residence
294,Brazzaville,CG,81.23,overcast clouds,-4.2658,15.2832,Hotel Muesse
296,Santa Marta,CO,78.33,overcast clouds,11.2408,-74.199,Casa de Isabella
297,Peravurani,IN,86.85,scattered clouds,10.3,79.1833,STD Lodge
300,Ambunti,PG,82.69,overcast clouds,-4.2365,142.8448,Ambunti Lodge
313,Uthal,PK,81.93,clear sky,25.8072,66.6219,Al-Mustafa Hotel
324,Pilar,BR,76.93,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
325,Nisia Floresta,BR,80.98,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
326,Fougamou,GA,81.63,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
332,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
338,Luganville,VU,79.21,clear sky,-15.5333,167.1667,The Espiritu Hotel
340,Padang,ID,82.45,light rain,-0.9492,100.3543,Mercure Padang
341,Cuamba,MZ,89.4,clear sky,-14.8031,36.5372,Hotel Vision
342,Noumea,NC,82.0,few clouds,-22.2763,166.4572,Hôtel Le Lagon
347,Saint-Pierre,RE,85.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
348,Dorado,PR,77.14,scattered clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
350,Katherine,AU,79.12,light intensity shower rain,-14.4667,132.2667,Pine Tree Motel
351,Dwarka,IN,79.34,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
356,Bassila,BJ,79.21,overcast clouds,9.0081,1.6654,COMPLEXE MAKOYA ET FILS
369,Pontianak,ID,85.98,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
371,Pedernales,DO,77.54,few clouds,18.0384,-71.744,Hotel Costa Marina
376,Umm Lajj,SA,81.75,clear sky,25.0213,37.2685,Moon light Furnished Units
384,Buala,SB,80.87,light rain,-8.145,159.5921,Maringe Lagoon Lodge
388,Meulaboh,ID,84.25,overcast clouds,4.1363,96.1285,Kost Pria
389,Vanimo,PG,82.81,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
395,Patancheru,IN,86.86,clear sky,17.5314,78.265,Sri Ganapathi Lodge
406,Itarema,BR,78.66,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
407,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
413,Cartagena,CO,78.42,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
416,Trat,TH,86.2,broken clouds,12.5,102.5,สวนหนิง-อัศ
432,Chake Chake,TZ,84.54,light rain,-5.2459,39.7666,Hotel Archipelago
433,Moussoro,TD,82.0,few clouds,13.6408,16.4901,Hôtel Salama
457,Nhulunbuy,AU,84.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
461,Popondetta,PG,76.53,overcast clouds,-8.7537,148.2534,Timos Transit House
471,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
473,Gladstone,AU,78.73,light rain,-23.85,151.25,Highpoint International Hotel
475,Puerto Escondido,MX,76.89,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
477,Tahoua,NE,75.54,few clouds,14.8888,5.2692,Bungalows Guesthouse
479,Odweyne,SO,77.86,clear sky,9.4092,45.064,Eng Hiirey House
481,Neiafu,TO,80.02,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
486,Harlingen,US,75.2,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
488,Nabire,ID,78.15,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
489,Takoradi,GH,82.49,scattered clouds,4.8845,-1.7554,Raybow International Hotel
491,Thayetmyo,MM,87.4,clear sky,19.3167,95.1833,Htarwaya Thitsar Guest House
493,Auki,SB,78.76,overcast clouds,-8.7676,160.7034,Auki Motel
495,Grand Gaube,MU,85.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
499,Cockburn Town,TC,79.79,few clouds,21.4612,-71.1419,Osprey Beach Hotel
