City_id,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
92,Svetlogorsk,BY,2021-12-05 08:09:51,52.6333,29.7333,27.3,87,100,7.09,overcast clouds
93,Jaru,BR,2021-12-05 08:09:52,-10.4389,-62.4664,73.17,100,100,0.92,overcast clouds
94,Ilulissat,GL,2021-12-05 08:09:54,69.2167,-51.1,37.42,41,100,24.16,overcast clouds
95,Barrow,US,2021-12-05 08:09:55,71.2906,-156.7887,5.02,72,90,21.85,haze
96,Port Lincoln,AU,2021-12-05 08:09:57,-34.7333,135.8667,63.03,66,100,12.19,overcast clouds
97,Namibe,AO,2021-12-05 08:09:58,-15.1961,12.1522,74.64,65,75,3.11,broken clouds
98,Kodiak,US,2021-12-05 08:09:59,57.79,-152.4072,24.31,86,90,0.0,overcast clouds
99,Avera,US,2021-12-05 08:00:32,33.194,-82.5271,52.72,93,2,2.19,clear sky
100,Mahajanga,MG,2021-12-05 08:08:16,-15.7167,46.3167,90.66,44,31,4.56,scattered clouds
101,Fonte Boa,BR,2021-12-05 08:05:58,-2.4959,-66.2662,71.78,98,94,2.28,overcast clouds
102,Tuatapere,NZ,2021-12-05 08:10:04,-46.1333,167.6833,50.83,84,100,7.16,overcast clouds
103,Punta Arenas,CL,2021-12-05 08:10:06,-53.15,-70.9167,44.71,70,20,3.44,few clouds
104,Kenai,US,2021-12-05 08:10:07,60.5544,-151.2583,11.14,88,90,9.22,light snow
105,Lakes Entrance,AU,2021-12-05 08:10:09,-37.8811,147.981,69.57,66,59,19.66,broken clouds
106,Georgetown,MY,2021-12-05 08:09:23,5.4112,100.3354,88.9,64,20,1.01,few clouds
107,Kodinsk,RU,2021-12-05 08:02:18,58.6881,99.1844,19.92,84,100,10.42,overcast clouds
108,Palana,RU,2021-12-05 08:01:50,59.1167,159.9667,19.29,76,100,25.7,light snow
109,Key West,US,2021-12-05 08:05:23,24.5557,-81.7826,73.4,79,90,6.91,overcast clouds
110,Saint-Philippe,RE,2021-12-05 08:10:16,-21.3585,55.7679,85.59,70,1,12.97,clear sky
111,Hobart,AU,2021-12-05 08:08:45,-42.8794,147.3294,64.27,60,20,1.01,few clouds
112,Otavi,NA,2021-12-05 08:10:18,-19.65,17.3333,80.01,24,28,10.76,scattered clouds
113,Puerto Narino,CO,2021-12-05 08:10:20,-3.7703,-70.3831,75.15,99,100,3.4,overcast clouds
114,Bredasdorp,ZA,2021-12-05 08:10:21,-34.5322,20.0403,63.28,92,100,12.68,light rain
115,Udachnyy,RU,2021-12-05 08:10:23,66.4167,112.4,-29.56,81,100,21.21,overcast clouds
116,Buritama,BR,2021-12-05 08:10:24,-21.0661,-50.1472,72.27,67,100,9.31,overcast clouds
117,Castro,BR,2021-12-05 08:10:25,-24.7911,-50.0119,58.57,94,93,5.57,overcast clouds
118,Conceicao Da Barra,BR,2021-12-05 08:10:27,-18.5933,-39.7322,69.48,95,39,1.9,scattered clouds
119,Jamestown,US,2021-12-05 08:00:47,42.097,-79.2353,33.71,83,100,1.01,overcast clouds
120,Ndele,CF,2021-12-05 08:10:29,8.4109,20.6473,89.31,21,94,7.61,overcast clouds
121,Thompson,CA,2021-12-05 08:10:31,55.7435,-97.8558,-13.34,98,24,5.44,few clouds
122,Mumford,GH,2021-12-05 08:10:32,5.2618,-0.759,82.44,76,95,2.75,overcast clouds
123,Olafsvik,IS,2021-12-05 08:10:34,64.8945,-23.7142,37.56,69,100,41.23,overcast clouds
124,Caluquembe,AO,2021-12-05 08:10:35,-13.7833,14.6833,59.76,97,100,3.02,moderate rain
125,Cortez,US,2021-12-05 08:10:36,37.3489,-108.5859,41.7,80,1,6.91,clear sky
126,Whitehorse,CA,2021-12-05 08:10:38,60.7161,-135.0538,-15.9,75,8,4.0,clear sky
127,Fuling,CN,2021-12-05 08:10:40,29.7022,107.3919,64.98,55,8,2.51,clear sky
128,Mopipi,BW,2021-12-05 08:10:42,-21.1833,24.8833,82.11,45,97,6.87,overcast clouds
129,Derzhavinsk,KZ,2021-12-05 08:10:43,51.1,66.3167,25.2,85,97,4.05,overcast clouds
130,Birin,NP,2021-12-05 08:10:44,26.8865,88.0718,63.25,60,42,5.26,scattered clouds
131,Egvekinot,RU,2021-12-05 08:10:46,66.3167,-179.1667,-3.26,97,100,20.83,snow
132,Alice Springs,AU,2021-12-05 07:57:09,-23.7,133.8833,81.95,26,54,23.02,broken clouds
133,Bandarbeyla,SO,2021-12-05 08:10:48,9.4942,50.8122,81.16,62,41,20.74,light rain
134,Pemangkat,ID,2021-12-05 08:07:18,1.1667,108.9667,81.09,83,100,12.82,light rain
135,Uva,RU,2021-12-05 08:10:51,56.9908,52.1852,27.46,84,100,8.57,light snow
136,Banyo,CM,2021-12-05 08:10:52,6.75,11.8167,81.48,30,41,6.24,scattered clouds
137,Verkhoyansk,RU,2021-12-05 08:10:54,67.5447,133.385,-20.22,98,100,1.21,overcast clouds
138,Myshkin,RU,2021-12-05 08:10:55,57.7897,38.4545,5.68,87,38,5.55,scattered clouds
139,Saldanha,ZA,2021-12-05 08:10:57,-33.0117,17.9442,66.4,69,34,6.89,scattered clouds
140,Bambous Virieux,MU,2021-12-05 08:10:58,-20.3428,57.7575,85.21,68,17,13.18,few clouds
141,Amalapuram,IN,2021-12-05 08:10:59,16.5833,82.0167,91.78,67,82,4.07,broken clouds
142,Manta,EC,2021-12-05 08:11:01,-0.95,-80.7333,73.18,88,90,9.22,overcast clouds
143,Shiraz,IR,2021-12-05 08:09:38,29.6036,52.5388,56.64,26,59,0.0,broken clouds
144,Faanui,PF,2021-12-05 08:11:03,-16.4833,-151.75,81.41,62,69,11.86,broken clouds
145,Lavrentiya,RU,2021-12-05 08:11:05,65.5833,-171.0,21.25,95,100,38.25,snow
146,Hilo,US,2021-12-05 08:11:06,19.7297,-155.09,70.25,93,90,3.44,overcast clouds
147,Sorland,NO,2021-12-05 08:11:08,67.667,12.6934,27.75,63,25,11.79,scattered clouds
148,New Norfolk,AU,2021-12-05 08:11:09,-42.7826,147.0587,63.91,49,9,1.01,clear sky
149,Pevek,RU,2021-12-05 08:11:10,69.7008,170.3133,-22.54,99,93,2.62,overcast clouds
150,Salalah,OM,2021-12-05 08:11:12,17.0151,54.0924,86.09,26,0,18.41,clear sky
151,Hithadhoo,MV,2021-12-05 08:11:13,-0.6,73.0833,80.47,83,100,17.22,overcast clouds
152,Iralaya,HN,2021-12-05 08:11:15,15.0,-83.2333,76.62,88,10,7.14,clear sky
153,Tiksi,RU,2021-12-05 08:11:16,71.6872,128.8694,-14.8,94,100,0.02,overcast clouds
154,Tasiilaq,GL,2021-12-05 08:08:11,65.6145,-37.6368,30.36,90,100,59.3,snow
155,Laukaa,RU,2021-12-05 08:11:19,58.7372,29.8453,8.26,89,100,7.29,overcast clouds
156,Qaanaaq,GL,2021-12-05 08:11:20,77.484,-69.3632,9.36,68,93,7.38,overcast clouds
157,Juba,SS,2021-12-05 08:11:22,4.8517,31.5825,94.59,30,89,4.97,overcast clouds
158,Havre-Saint-Pierre,CA,2021-12-05 08:11:24,50.2334,-63.5986,23.47,57,74,10.58,broken clouds
159,Ballina,AU,2021-12-05 08:11:25,-28.8667,153.5667,69.98,93,79,13.35,broken clouds
160,Sinnamary,GF,2021-12-05 08:11:27,5.3833,-52.95,76.51,88,91,8.32,light rain
161,Bathsheba,BB,2021-12-05 08:03:05,13.2167,-59.5167,79.23,75,27,18.63,scattered clouds
162,Labuhan,ID,2021-12-05 08:11:30,-6.8844,112.2051,84.9,69,99,12.28,moderate rain
163,Korla,CN,2021-12-05 08:04:27,41.7597,86.1469,38.98,30,99,1.43,overcast clouds
164,Boddam,GB,2021-12-05 08:11:33,57.4667,-1.7833,41.38,64,100,28.59,overcast clouds
165,Kaitangata,NZ,2021-12-05 08:11:34,-46.2817,169.8464,50.94,80,100,7.47,light rain
166,Kavieng,PG,2021-12-05 08:11:36,-2.5744,150.7967,79.27,89,100,13.73,heavy intensity rain
167,Matagami,CA,2021-12-05 08:11:37,49.7502,-77.6328,-4.56,99,73,4.99,broken clouds
168,Cumberland,US,2021-12-05 08:11:39,35.0502,-78.8664,52.61,86,1,6.91,clear sky
169,Kambia,SL,2021-12-05 08:11:40,9.1167,-12.9167,78.42,90,12,2.24,few clouds
